class,left_elbow_angle,right_elbow_angle,left_back_angle,right_back_angle
good_form,72.48572864664015,49.679160062672786,172.19362250658622,167.80639938476764
good_form,74.35107396576971,50.47612095779148,171.9706473153487,167.56179072078226
good_form,76.90639701307329,52.696371597583415,171.79853517352547,167.59813762646968
good_form,80.06988550197315,55.94584570597973,171.93051104023777,167.69817906114292
good_form,81.48500661956014,56.72970795581246,172.41629555667254,167.8295150802067
good_form,82.01274442354638,59.80192432966436,172.41713656139083,167.726221280841
good_form,85.86102764006458,62.448570567936834,172.34947977909962,167.39223392508362
good_form,89.79856913801119,65.12679832352154,172.36083009428475,167.2824038686243
good_form,90.12679488212189,66.1442180558262,172.40382761834655,167.28889650557127
good_form,91.91033064061435,65.76413728345369,172.48068208051956,167.2291312646949
good_form,92.05025064622879,68.65873858736332,172.77948773955984,167.2130933829556
good_form,95.68286941484075,73.75266462148262,173.5271044208205,166.57938445557522
good_form,93.34806577215073,78.44893201066269,174.13433146929788,165.94702664338874
good_form,93.3713589547886,81.87219103188659,174.32312559539767,165.846569789055
good_form,95.25676078957338,85.53622876499414,174.15982283299186,165.7885234091828
good_form,95.87686391145411,97.12489222747206,174.2964346230984,165.95804617155466
good_form,97.90180905613533,103.8290459271067,175.23454236016468,165.90041624047936
good_form,98.52273299388895,109.9989958631555,175.6619130720552,166.0180826316409
good_form,106.67081386841414,118.41005315328309,175.72101322603706,166.14333841079662
