class,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle
good_form,133.04479790553427,147.0605996454666,173.83333777669645,171.5879184324055
good_form,136.6151227758299,144.14240773559317,173.8509748194549,172.84055644521524
good_form,140.76346468877387,135.3590623410418,174.58696381771028,173.59622979222308
good_form,145.34813372310438,138.68007370479478,175.3174499650886,173.27578785294114
good_form,149.57178518928947,145.0451705689936,178.84677372306967,177.5005660778952
good_form,153.78066522338702,154.66612819518684,179.27094237030184,178.8363085447635
good_form,159.0481498164286,161.0161458472881,179.17840670048895,179.13077048461994
good_form,161.39129082575846,162.80095042595565,177.35665781859126,177.46701583911099
good_form,163.9336434239312,164.56239929675218,175.90927273962347,179.7962092782815
good_form,166.19702086514533,168.08686293436799,176.00695201221612,178.6658132811899
good_form,166.83586233349953,169.1066189744245,177.19156625249266,179.02877416239713
good_form,97.12770380320153,99.44543428313622,167.24868559081924,168.89377483638336
good_form,92.86782134564889,95.06922679243047,166.07799155297693,167.32615728575576
good_form,89.27083981666974,88.62650889704251,165.0997199766136,166.90509835952514
good_form,85.10177889582258,84.06679356606165,164.7547288298511,167.15220345506773
good_form,85.80444068487527,83.0017806353627,164.76565908214562,169.1979896918333
good_form,84.55448229641705,80.77000756150278,166.41210919314224,170.24223041541822
good_form,82.03781292753487,80.5057626424865,167.18280285230858,170.28834099449696
good_form,82.26920962936292,77.54822168833635,166.73455581660014,170.20634936762917
good_form,78.76734115648435,76.71104149574384,167.27524034121163,170.27632940563893
good_form,76.41613633758439,75.00882348813724,166.53442086578144,169.92599277838607
good_form,75.9892513047699,73.95859056412955,166.68541644415126,170.31011057893568
good_form,75.02776929506813,73.03156915236154,167.75500941998618,170.97641956132645
good_form,74.82743338699972,72.50577412712504,167.4650044134777,170.76203794387843
good_form,73.17621502037845,72.05453281167709,166.98438304758264,170.3862493078317
good_form,73.17532835927976,71.95329468479225,166.60984836721707,170.67103169335297
good_form,72.74918198764837,71.3437084867083,166.3651326660612,170.78546285197316
good_form,73.44335065891829,71.45647529029644,166.5282503274425,170.82062600237833
good_form,74.94458876800034,72.78259109685754,163.55433889323513,169.6082568827964
